land,datum,uhrzeit,postleitzahl,stadt,treffpunkt,protestform,livestream
DE,2020-11-05,18:00:00,10117,Berlin,Brandenburger Tor,Kundgebung,https://anonymous.support/tv
DE,2020-11-07,14:00:00,04105,Leipzig,Rosental,Kundgebung,
DE,2020-11-07,14:00:00,04105,Leipzig,Rosental,Kundgebung,
DE,2020-11-07,14:30:00,26382,Wilhelmshaven,Pacific Cafe,Spaziergang,
DE,2020-11-07,15:30:00,24568,Kaltenkirchen,Park ggü. Rathaus,Sonstiges,
DE,2020-11-09,17:00:00,80331,München,Marienplatz,Meditation,http://www.mbsr-muenchen.net/openair
DE,2020-11-09,17:45:00,50674,Köln,Aachener Weiher,Mahnwache,
DE,2020-11-11,11:00:00,14195,Berlin,Finkenstr. 21 / Spahn-Villa,Versammlung,
DE,2020-11-11,11:00:00,14195,Berlin,Finkenstraße 21,Flashmob,
DE,2020-11-13,19:00:00,04668,Grimma,Marktplatz,Spaziergang,
DE,2020-11-14,14:00:00,10117,Berlin,Am Kupfergraben 6 / Merkel,Versammlung,
DE,2020-11-14,14:00:00,10117,Berlin,Am Kupfergraben 6,Flashmob,
DE,2020-11-16,17:00:00,80331,München,Marienplatz,Meditation,http://www.mbsr-muenchen.net/openair
DE,2020-11-16,17:45:00,50674,Köln,Aachener Weiher,Mahnwache,
DE,2020-11-23,17:00:00,80331,München,Marienplatz,Meditation,http://www.mbsr-muenchen.net/openair
DE,2020-11-23,17:45:00,50674,Köln,Aachener Weiher,Mahnwache,
DE,2020-11-30,17:00:00,80331,München,Marienplatz,Meditation,http://www.mbsr-muenchen.net/openair
DE,2020-11-30,17:45:00,50674,Köln,Aachener Weiher,Mahnwache,
AT,2020-12-06,17:00:00,4020,Linz,Hauptplatz,Kundgebung,
DE,2020-12-07,17:00:00,80331,München,Max Joseph Platz/vor der Oper,Meditation,http://www.mbsr-muenchen.net/openair
DE,2020-12-14,17:00:00,80331,München,Marienplatz,Meditation,http://www.mbsr-muenchen.net/openair
DE,2020-12-24,12:00:00,10178,Berlin,Weltzeituhr/Alexanderplatz,Charity,https://demo.stream/anonymous
DE,2020-12-31,15:00:00,10117,Berlin,Straße des 17. Juni,Kundgebung,
DE,2021-06-20,16:30:00,94315,Straubing,Ludwigsplatz,Mahnwache,
